site_id,country,lat_deg,lon_deg,max_depth_m,measurement_year,prior_gst_c,mean_kappa_w_m_k,mean_grad_k_per_km,n_samples
ZA-DRL17,South Africa,-26.78,26.5,260.0,1979.0,20.0,3.37,9.8,25
ZA-DV38,South Africa,-24.35,29.57,780.0,1988.0,21.9,2.21,19.7,36
ZA-DWR6,South Africa,-24.97,30.08,236.0,1990.0,21.5,2.24,25.8,10
ZA-E1,South Africa,-23.4,28.57,340.0,1992.0,24.4,5.47,6.75,29
ZA-FF1,South Africa,-25.47,28.58,580.8,1986.0,21.6,3.16,13.8,28
ZA-GHB1,South Africa,-26.28,25.0,520.0,1992.0,20.6,3.1,10.3,26
ZA-GR24,South Africa,-23.12,30.9,250.0,1983.0,24.0,3.67,15.3,21
ZA-GR25,South Africa,-23.12,30.9,248.5,1983.0,24.0,3.67,14.9,21
ZA-GR26,South Africa,-24.12,29.27,217.1,1988.0,20.7,3.11,10.13,10
ZA-HB77,South Africa,-28.7,17.88,540.0,1976.0,26.3,3.43,17.2,23
ZA-HE177,South Africa,-29.33,18.02,471.6,1976.0,19.9,3.49,18.2,21
ZA-HKE26,South Africa,-29.33,17.88,467.0,1976.0,21.1,3.82,19.8,47
ZA-KF38,South Africa,-24.35,29.43,680.0,1988.0,22.4,2.25,17.7,33
ZA-LKN1,South Africa,-25.07,29.22,220.0,1992.0,23.49,2.91,19.58,18
ZA-NG1,South Africa,-24.95,27.13,800.0,1987.0,21.0,4.13,16.0,40
ZA-O354,South Africa,-22.32,30.05,236.4,1988.0,26.2,3.48,16.8,14
ZA-OP1,South Africa,-25.65,28.18,620.0,1992.0,20.4,2.65,17.4,31
ZA-PAD2,South Africa,-24.73,27.47,800.0,1988.0,23.6,3.65,17.3,39
ZA-PC227,South Africa,-29.33,21.78,396.0,1976.0,21.6,3.55,16.8,19
ZA-POG32,South Africa,-29.35,19.62,512.3,1976.0,21.0,4.31,16.6,23
ZA-RB56,South Africa,-29.06,20.78,452.2,1976.62,24.3,3.63,23.1,46
ZA-RTN1,South Africa,-24.03,28.92,700.0,1988.0,20.2,2.24,20.9,35
ZA-SB1,South Africa,-27.28,25.5,440.0,1992.0,20.15,3.3,10.65,22
ZA-SK1,South Africa,-25.63,27.43,320.0,1988.0,19.8,2.17,20.5,15
ZA-SK2,South Africa,-25.63,27.5,800.0,1988.0,20.2,2.17,20.4,39
ZA-SKN25,South Africa,-24.82,27.3,320.0,1988.0,22.5,2.15,20.2,15
ZA-VF1,South Africa,-25.48,28.58,392.5,1986.0,21.4,3.61,11.33,19
ZA-VP1,South Africa,-23.4,28.57,340.0,1994.0,24.5,5.47,5.25,25
ZA-WB1,South Africa,-24.97,27.5,761.5,1987.0,23.3,2.95,17.6,37
ZA-WEM1,South Africa,-23.43,28.23,500.0,1989.0,23.9,2.24,25.2,23
ZA-ZE1,South Africa,-24.83,27.33,250.0,1983.0,21.4,2.21,21.8,21
ES-AC-1Billiton,Spain,37.6,-6.83,356.36,1991.76,17.6,2.5,19.0,75
ES-PB1AdaroValverde,Spain,37.56,-6.78,259.81,1991.77,17.6,2.5,18.0,52
ES-Romanera,Spain,37.69,-7.33,326.29,1991.74,17.9,2.5,22.0,68
TZ-Angatase,Tanzania,-5.4,37.29,220.0,1988.52,22.43,2.51,19.57,20
TZ-Basotu,Tanzania,-4.38,35.17,230.0,1986.16,23.81,2.0,13.11,16
TZ-KN93-35,Tanzania,-2.88,30.57,338.69,1993.5,21.0,4.2,17.9,46
TZ-KN93-36,Tanzania,-2.88,30.57,369.26,1993.5,21.0,3.7,17.5,55
TZ-Kizaga,Tanzania,-4.42,34.37,300.0,1988.14,24.04,3.24,11.9,28
TZ-Longido,Tanzania,-2.61,36.47,240.0,1988.52,23.39,2.63,17.01,20
TZ-Siuyu,Tanzania,-4.9,34.88,210.0,1988.14,22.63,3.49,10.79,20
UA-Dolina613,Ukraine,49.03,23.97,600.0,1990.0,7.5,2.5,17.0,117
UA-Feodo1,Ukraine,44.95,38.5,225.0,1990.0,13.0,1.5,33.0,42
UA-GViZD214,Ukraine,44.95,38.5,600.0,1990.0,8.0,2.5,19.0,117
UA-KRog15193,Ukraine,48.72,33.57,350.0,1990.0,9.0,2.5,13.0,60
UA-Lenino5304,Ukraine,50.43,29.22,258.0,1971.0,8.8,2.5,10.0,12
UA-LysaGora2492,Ukraine,48.18,31.08,283.0,1971.0,11.0,2.5,8.0,12
UA-LysajaGora5008,Ukraine,48.18,31.08,335.0,1971.0,10.4,2.5,12.0,15
UA-Migija,Ukraine,48.02,31.07,243.0,1971.0,10.2,2.5,12.0,11
UA-Nechvorosc30,Ukraine,49.55,31.22,482.0,1971.0,9.3,2.5,13.0,21
UA-Orechovo406,Ukraine,47.57,35.83,365.0,1971.0,12.3,2.5,11.0,14
UA-Orechovo57,Ukraine,47.63,35.82,243.0,1971.0,11.0,2.5,14.0,11
UA-Ositnjazka670,Ukraine,48.7,32.2,283.0,1971.0,9.4,2.5,14.0,12
UA-VMosty16,Ukraine,50.32,24.08,350.0,1990.0,9.1,2.65,19.0,67
UK-BALLATER,United Kingdom,57.07,-2.99,290.4,1982.5,8.2,3.26,21.7791,69
UK-BALLYMACILROY,United Kingdom,54.79,-6.33,493.68,1979.5,9.0,1.66,35.5422,154
UK-BENNACHIE,United Kingdom,57.28,-2.55,282.75,1982.5,8.1,3.53,21.5297,68
UK-CAIRNGORM,United Kingdom,57.14,-3.67,282.81,1982.5,5.8,3.52,19.8864,87
UK-CHALGROVE,United Kingdom,51.66,-1.05,211.01,1983.5,10.5,1.52,31.5789,63
UK-CHARD,United Kingdom,50.85,-2.93,289.47,1983.5,11.0,1.45,35.1724,88
UK-CLEETHORPES,United Kingdom,53.54,-0.03,290.0,1984.5,10.5,3.19,22.884,26
UK-CLITHEROE,United Kingdom,53.86,-2.37,293.96,1985.5,9.8,2.02,19.802,84
UK-CREWE,United Kingdom,53.09,-2.47,296.19,1983.5,10.8,1.86,30.6452,90
UK-MORLEY,United Kingdom,52.76,-1.29,235.0,1986.5,9.7,4.11,13.1387,44
UK-MOUNT,United Kingdom,57.0,-2.75,261.67,1982.5,8.2,3.08,19.1558,64
UK-SEABARN,United Kingdom,50.62,-2.53,380.0,1978.5,10.7,1.65,33.9394,19
UK-SHAP,United Kingdom,54.47,-2.68,301.39,1982.5,7.5,2.9,26.8966,94
UK-SHIPTON,United Kingdom,54.02,-1.17,225.92,1986.5,10.4,3.22,17.7019,68
UK-SILLOTH,United Kingdom,54.88,-3.36,192.85,1982.5,10.0,1.84,29.8913,57
UK-SKIDDAW,United Kingdom,54.67,-3.06,265.0,1982.5,8.5,3.5,28.8571,82
UK-STOWLANGTOFT,United Kingdom,52.28,0.85,207.76,1983.5,10.2,1.73,20.2312,61
UK-THORNTON,United Kingdom,53.89,-3.02,202.31,1983.5,10.4,2.36,22.0339,59
UK-TYDD,United Kingdom,52.74,0.12,294.21,1983.5,10.5,1.25,45.6,79
UK-VENN,United Kingdom,50.71,-3.32,307.3,1983.5,10.8,1.77,31.6384,95
UK-WITHYCOMBE,United Kingdom,50.65,-3.37,226.31,1983.5,10.8,1.75,28.5714,68
UK-WORCESTER,United Kingdom,52.22,-2.2,298.08,1983.5,10.8,1.83,22.4044,92
US-AL7-6,United States of America,33.27,-86.02,596.8,1966.26,14.4,2.75,14.5,13
US-ALclay4,United States of America,33.5,-86.8,270.0,1993.4,22.0,2.03,2.85,77
US-ALclay6,United States of America,33.5,-86.8,300.0,1993.4,22.0,2.03,2.85,83
US-AZ3-6,United States of America,33.03,-110.6,320.04,1963.65,21.0,3.19,18.84,18
US-AZ3-8,United States of America,31.97,-111.0,335.28,1965.85,23.0,3.39,26.4,19
US-AZ7-12,United States of America,31.87,-110.8,320.0,1965.69,21.0,3.1,24.63,27
US-AZ7-13,United States of America,35.13,-113.1,260.0,1965.49,16.0,3.37,28.6,21
US-AZ7-16,United States of America,33.63,-114.3,260.0,1964.49,25.0,2.6,36.22,24
US-AZ7-17,United States of America,33.63,-114.3,410.0,1967.49,25.0,3.32,33.7,39
US-AZ7-18,United States of America,33.63,-114.3,240.0,1967.49,24.0,3.32,32.71,21
US-AZ7-20,United States of America,31.83,-110.7,460.0,1965.69,18.0,3.46,24.54,22
US-AZ7-22,United States of America,31.88,-111.1,210.0,1964.7,21.5,2.99,26.83,9
US-AZ7-23,United States of America,31.88,-111.1,450.0,1965.7,20.0,2.87,31.05,22
US-AZ7-24,United States of America,31.88,-111.1,400.0,1965.7,20.0,2.7,31.94,20
US-AZ7-25,United States of America,31.88,-111.1,400.0,1965.7,20.0,2.68,31.13,20
US-CA3-25,United States of America,39.7,-122.8,327.05,1969.66,9.0,4.31,20.43,37
US-CA3-38,United States of America,35.27,-119.3,600.0,1969.28,23.0,1.77,32.2,20
US-CA3-41,United States of America,37.13,-118.9,502.63,1966.73,5.0,2.97,17.2,49
US-CA3-43,United States of America,37.1,-119.3,491.49,1967.96,12.0,2.53,12.2,94
US-CA7-28,United States of America,38.87,-120.6,350.0,1965.58,7.5,3.7,11.71,33
US-CA7-29,United States of America,38.83,-121.1,350.0,1965.58,16.0,2.91,9.03,32
US-CA7-31,United States of America,38.55,-120.5,270.0,1965.58,11.5,3.01,10.31,26
US-CO3-73,United States of America,40.05,-108.3,243.84,1969.92,9.0,1.43,63.4,29
US-CO3-75,United States of America,39.97,-108.4,304.8,1969.92,10.0,1.43,57.0,33
US-CO5-25,United States of America,39.95,-108.3,310.0,1966.75,7.0,0.87,56.0,12
US-CO5-31,United States of America,38.13,-105.4,245.0,1967.78,7.0,1.9,35.6,20
US-CO5-32,United States of America,38.15,-105.4,250.0,1967.83,9.0,2.3,30.2,20
US-DC6-61,United States of America,39.0,-77.0,598.93,1963.7,13.0,2.93,16.26,22
US-DC6-62,United States of America,39.0,-77.0,593.32,1963.7,14.0,3.11,15.04,21
US-DC6-63,United States of America,39.0,-77.0,597.74,1963.48,14.0,2.92,16.13,19
US-GLEN95,United States of America,48.5,-101.2,208.0,1995.36,5.35,1.2,36.5,63
US-GSEL-02,United States of America,41.6,-116.03,234.7,1979.73,9.23914,1.96,47.9798,37
US-GSNY-07,United States of America,38.88,-117.82,262.1,1979.3,9.92896,3.03,38.806,38
US-GSST-3,United States of America,38.37,-118.81,228.6,1982.59,12.2682,3.34,121.311,71
US-HAY955,United States of America,42.6,-102.7,235.0,1995.5,8.809,1.33,49.6,40
US-HAYSPR,United States of America,42.6,-102.7,235.0,1980.5,8.8,1.3,48.6,38
US-IA7-33,United States of America,43.17,-95.19,600.0,1967.48,8.0,2.21,8.3,27
US-KEN95,United States of America,43.8,-99.8,200.0,1995.59,10.44,1.2,84.4,32
US-M952M,United States of America,48.3,-101.5,272.0,1995.5,5.01,1.2,34.8,148
US-MI7-40,United States of America,47.4,-88.02,274.3,1960.72,5.23,2.17,17.0,13
US-MI7-41,United States of America,46.75,-89.57,457.2,1960.14,6.0,2.74,15.9,13
US-MI7-42,United States of America,46.73,-89.57,457.2,1960.63,6.0,2.49,17.8,13
US-MINOT,United States of America,48.5,-101.3,200.0,1984.8,5.01,1.2,34.0,36
US-MN5-34,United States of America,47.82,-91.72,365.9,1967.5,5.0,1.85,18.18,23
US-MN5-35,United States of America,47.82,-91.72,594.6,1967.5,5.0,1.95,18.9,36
US-MND84,United States of America,48.4,-101.5,272.9,1984.4,5.09,1.2,34.8,52
US-MT2-14,United States of America,46.72,-112.3,270.0,1966.48,7.0,3.52,72.5,26
US-MT2-8,United States of America,45.05,-109.9,300.0,1965.58,3.0,3.01,18.4,25
US-MT3-83,United States of America,45.38,-109.9,268.55,1968.7,6.0,2.99,21.2,19
US-MT3-84,United States of America,45.38,-109.9,208.64,1968.7,4.0,3.68,17.8,16
US-NH7-72,United States of America,42.78,-72.13,300.0,1965.31,6.0,3.22,21.41,29
US-NJ6-10,United States of America,41.08,-74.6,579.1,1960.92,16.0,2.89,13.66,19
US-NJ6-8,United States of America,41.1,-74.58,594.4,1969.79,10.0,2.9,12.96,75
US-NM3-160,United States of America,36.68,-107.2,579.12,1967.28,10.0,2.76,30.6,19
US-NM5-38,United States of America,35.47,-106.1,280.0,1964.9,15.0,2.08,24.45,23
US-NM5-40,United States of America,32.02,-105.4,260.0,1967.82,19.0,4.0,22.0,13
US-NM5-43,United States of America,31.85,-108.3,210.0,1964.91,20.0,3.49,32.2,20
US-NM5-47,United States of America,32.33,-108.7,200.0,1967.87,20.0,2.13,33.8,15
US-NM5-48,United States of America,32.33,-108.7,245.0,1967.87,20.0,1.88,37.6,20
US-NM5-52,United States of America,36.72,-105.4,580.0,1967.88,8.0,2.85,29.7,26
US-NM5-56,United States of America,32.8,-108.0,300.0,1967.86,16.0,2.76,25.01,21
US-NV3-120,United States of America,37.97,-114.5,388.62,1970.36,10.0,3.88,17.02,26
US-NV3-130,United States of America,38.32,-117.8,332.23,1970.83,14.0,2.89,28.17,32
US-NV3-131,United States of America,38.32,-117.8,266.7,1970.83,15.0,2.91,28.69,28
US-NV3-138,United States of America,39.2,-118.3,325.0,1966.12,13.0,2.95,22.5,59
US-NV3-139,United States of America,39.2,-118.3,260.0,1966.12,14.0,2.87,18.5,47
US-NV3-140,United States of America,39.2,-118.3,257.8,1963.31,14.0,2.88,30.8,49
US-NV3-141,United States of America,39.2,-118.3,317.4,1966.12,13.0,2.87,24.7,61
US-NV3-151,United States of America,40.3,-116.6,228.6,1968.64,15.0,4.91,30.7,22
US-NV3-91,United States of America,37.18,-116.2,320.04,1963.54,13.0,4.9,16.4,19
US-NV3-92,United States of America,40.68,-117.0,274.32,1969.6,15.0,3.98,35.06,33
US-NV7-47,United States of America,35.48,-115.1,315.0,1965.48,17.0,3.49,25.24,14
US-NV7-48,United States of America,35.38,-115.1,300.0,1965.48,19.0,3.64,24.57,14
US-NV7-49,United States of America,38.23,-117.5,280.0,1965.63,17.0,3.15,30.48,23
US-NV7-50,United States of America,38.23,-117.5,290.0,1965.63,17.0,3.11,31.82,20
US-NV7-51,United States of America,38.23,-117.5,210.0,1965.63,16.0,3.15,30.11,13
US-NV7-55,United States of America,38.32,-117.3,330.0,1965.63,14.0,3.17,30.82,31
US-NV7-56,United States of America,38.32,-117.3,270.0,1965.63,14.0,3.27,35.66,20
US-NV7-62,United States of America,38.32,-117.5,480.0,1965.63,16.0,2.81,25.06,20
US-NV7-66,United States of America,39.28,-114.3,230.0,1965.66,11.0,3.77,20.99,18
US-NV7-67,United States of America,39.08,-114.6,250.0,1965.67,11.0,5.58,39.23,16
US-NV7-68,United States of America,39.07,-114.9,360.0,1965.67,6.0,3.29,24.6,29
US-NY6-11,United States of America,44.25,-75.42,334.6,1969.64,7.0,4.02,12.72,41
US-NY6-13,United States of America,44.27,-75.4,312.4,1969.67,7.5,4.98,8.05,35
US-NY6-14,United States of America,44.27,-75.4,335.3,1969.62,8.5,4.98,7.54,42
US-NY6-29,United States of America,42.45,-74.45,230.1,1968.97,6.0,2.48,14.26,25
US-NY6-43,United States of America,42.42,-76.9,395.8,1969.17,9.5,2.01,35.81,49
US-NY7-78,United States of America,43.3,-73.62,265.0,1965.1,10.0,4.62,9.6,26
US-NY7-79,United States of America,44.58,-73.9,330.0,1965.51,5.0,3.32,15.9,16
US-PA6-49,United States of America,40.35,-75.83,299.7,1968.66,11.0,2.84,10.3,67
US-PR6-65,United States of America,18.25,-66.8,259.08,1967.25,21.0,3.56,12.5,27
US-PR6-66,United States of America,18.15,-67.17,304.8,1963.48,24.0,2.51,9.5,37
US-RUSH95,United States of America,42.6,-102.2,201.0,1995.5,10.0,1.7,38.5,36
US-SC6-52,United States of America,33.28,-81.67,594.36,1963.53,19.0,2.57,16.05,55
US-SC6-53,United States of America,33.28,-81.67,327.66,1963.53,19.0,2.57,16.05,24
US-SC6-55,United States of America,33.28,-81.67,274.32,1963.53,19.0,3.45,14.62,15
US-TN6-57,United States of America,35.92,-84.32,274.32,1962.77,14.0,2.57,11.91,34
US-TX5-60,United States of America,31.45,-104.8,200.0,1967.58,19.0,2.85,15.05,16
US-UT3-172,United States of America,39.98,-109.6,594.36,1969.91,14.0,2.36,25.13,42
US-UT7-85,United States of America,39.87,-112.0,335.28,1961.61,10.0,2.01,43.3,10
US-UTSRD-1,United States of America,38.61,-109.67,390.0,1979.75,13.6,3.86,16.7,63
US-UTSRD-2,United States of America,38.58,-109.62,355.0,1976.94,15.2,3.86,11.9,28
US-UTSRD-3,United States of America,38.71,-109.85,330.0,1979.77,15.3,3.86,11.7,55
US-UTSRD-4,United States of America,38.73,-109.87,310.0,1979.77,15.2,3.86,12.69,53
US-UTSRD-7,United States of America,38.69,-109.48,370.0,1980.66,13.1,3.86,11.65,71
US-UTSRS-3,United States of America,38.8,-109.32,495.0,1979.75,10.7,4.82,10.58,93
US-VA6-60,United States of America,36.87,-77.9,312.42,1964.7,15.0,3.27,18.0,39
US-WA2-26,United States of America,48.07,-118.7,300.0,1967.63,9.0,3.81,13.5,22
US-WA3-175,United States of America,46.53,-122.8,290.0,1967.45,10.0,1.08,32.8,23
US-WA3-177,United States of America,46.53,-122.8,410.0,1967.45,10.0,1.07,33.8,37
US-WA3-180,United States of America,46.35,-119.2,297.49,1970.62,16.0,1.65,38.95,37
US-WALL94,United States of America,43.74,-102.23,202.0,1994.8,8.63,1.1,34.3,183
US-WY2-27,United States of America,43.87,-109.2,450.0,1966.55,1.0,2.92,30.35,39
US-WY3-184,United States of America,42.77,-109.5,594.36,1966.5,8.0,3.02,19.21,34
US-kiw82,United States of America,45.43,-69.2,600.0,1982.0,5.88,2.9,13.5,59
US-lon65,United States of America,43.25,-72.5,240.0,1965.0,7.17,2.48,21.1,23
US-luc82,United States of America,44.72,-68.6,420.0,1982.0,6.67,2.5,16.76,39
US-nha64,United States of America,44.1,-72.0,263.6,1964.0,7.5,2.73,18.4,23
US-nha92,United States of America,44.1,-72.0,263.6,1992.0,7.5,2.73,18.4,54
US-nos65,United States of America,43.33,-72.55,268.2,1965.0,7.79,2.32,19.2,23
US-nos92,United States of America,43.33,-72.55,268.2,1992.0,7.79,2.32,19.2,64
US-sar64,United States of America,44.33,-74.27,368.2,1964.0,5.2,1.84,17.9,36
US-sar92,United States of America,44.33,-74.27,368.2,1992.0,5.2,1.84,17.9,91
US-wad64,United States of America,44.23,-73.47,368.2,1965.0,8.2,1.84,17.9,35
US-wes64,United States of America,43.28,-72.82,410.1,1964.0,6.9,2.65,15.2,27
ZM-COL2,Zambia,-13.92,29.2,279.2,1971.53,23.23,3.24,17.4,28
ZM-COL5,Zambia,-13.92,29.2,200.9,1971.53,22.94,2.98,20.5,25
ZM-LUB1,Zambia,-15.82,27.92,360.0,1973.39,25.9,2.81,25.4,33
ZM-LUP7,Zambia,-13.08,28.05,200.0,1973.6,22.47,2.73,23.6,19
ZM-Luangwa1,Zambia,-12.58,31.65,260.0,1987.84,26.55,4.07,21.95,24
ZM-MH23,Zambia,-15.92,28.15,309.1,1973.4,24.95,2.82,22.6,30
ZM-MH43,Zambia,-15.92,18.13,290.0,1973.42,26.6,2.82,20.5,26
ZM-MMB152,Zambia,-12.23,25.82,210.0,1971.25,20.911,2.65,21.4,18
ZM-PE2,Zambia,-12.73,28.12,380.0,1973.44,21.85,3.89,19.0,19
ZW-GD4,Zimbabwe,-18.1,30.42,240.0,1987.29,22.44,2.81,13.88,23
ZW-H146,Zimbabwe,-16.0,30.42,210.0,1987.69,28.67,3.14,12.14,20
ZW-N7,Zimbabwe,-19.27,30.18,220.0,1987.84,20.9,2.38,29.58,21
ZW-R212,Zimbabwe,-20.63,31.58,260.0,1986.63,22.8,2.95,16.6,25
ZW-R222,Zimbabwe,-20.63,31.58,350.0,1986.63,22.82,3.1,16.1,34
ZW-R227,Zimbabwe,-20.63,31.58,310.0,1986.63,22.97,2.69,16.3,30
ZW-RW64,Zimbabwe,-18.88,32.67,330.0,1986.96,18.73,4.53,16.37,24
